# KF_ID Detection_Time(ms)
2 0.260718
3 0.288996
5 0.303781
8 0.30748
11 0.273695
14 0.302749
17 0.270436
20 0.277826
23 0.290916
26 1.31338
29 1.5502
32 1.78117
35 1.86733
37 2.0883
39 2.40078
41 1.86174
43 2.35898
46 2.32413
49 2.0714
52 2.04886
56 1.73676
59 1.91444
62 1.73292
66 1.90061
69 1.836
71 2.37647
73 2.30685
75 2.20551
77 2.54982
79 2.36788
80 2.58676
82 2.54139
85 2.31715
89 2.61156
93 2.24246
98 2.55797
103 2.84401
109 2.49814
116 1.98279
121 2.10964
126 1.33262
130 0.867574
134 2.28359
137 2.61771
139 1.99536
141 1.41219
144 2.37755
148 9.63388
151 3.04558
154 2.82763
157 2.76571
160 2.55337
163 3.62177
166 2.69702
170 3.57374
173 2.95416
176 3.08532
180 3.86243
182 3.06489
184 3.10304
187 3.49875
192 3.08783
197 3.32274
202 3.91068
206 2.51874
210 1.82713
215 1.42927
222 1.46403
227 3.00998
232 1.93781
236 1.47795
240 2.12504
243 3.63027
246 2.07098
249 2.65681
252 2.81002
256 2.77654
260 2.47399
265 2.50994
269 2.83725
274 4.37863
277 3.18525
280 4.52536
282 4.91952
284 2.89176
288 3.9229
293 3.29541
298 3.14916
302 3.05837
306 2.94137
310 2.44981
314 3.79052
319 3.12003
323 3.15391
327 3.56671
332 5.14138
337 2.79456
341 4.4124
344 2.57575
347 2.08927
351 2.78181
355 2.96773
361 4.50058
367 2.6115
373 3.63753
378 3.04038
384 3.76402
390 3.66202
393 4.18023
395 2.5912
397 3.36018
401 3.48887
406 3.44624
412 2.73206
418 3.55991
424 2.81465
431 4.02081
435 2.81685
439 2.95555
445 2.73664
449 3.56207
453 3.11949
457 2.08364
461 1.99086
465 4.16435
469 2.59982
473 3.70107
476 3.92379
478 3.75584
480 3.45158
482 2.54447
483 2.93015
484 5.02572
487 5.05875
491 5.05316
494 3.84541
497 6.08426
500 4.43415
502 4.69569
505 4.78514
509 4.72033
511 4.23715
512 6.23573
513 3.23462
514 4.34152
515 7.88048
516 4.17389
517 6.03789
518 5.58679
521 6.40497
529 6.21232
564 5.76137
575 4.94001
